timestamp,traffic_phase,event_type,dpid,src,dst,dst_port,predicted_label,inference_ms,control_latency_ms,mitigated,pkt_rate,flow_count_per_dpid,distinct_ports,distinct_targets,distinct_sources,ryu_cpu_percent
2026-09-20T19:11:38.587,scanning,classify,0000000000000004,10.0.0.5,10.0.0.12,-1,scanning,2.0973,10.2134,1,0.0,4,1,1,1,1.0
2026-09-20T19:11:38.587,scanning,classify,0000000000000004,10.0.0.11,10.0.0.12,-1,normal,2.0973,,0,0.0,4,0,1,2,1.0
2026-09-20T19:11:38.587,scanning,classify,0000000000000004,10.0.0.2,10.0.0.12,-1,normal,2.0973,,0,0.0,4,0,1,3,1.0
2026-09-20T19:11:38.587,scanning,classify,0000000000000004,10.0.0.2,10.0.0.12,-1,normal,2.0973,,0,0.0,4,0,1,3,1.0
2026-09-20T19:11:38.598,scanning,classify,0000000000000001,10.0.0.5,10.0.0.12,-1,normal,2.8712,,0,0.0,3,1,1,3,1.0
2026-09-20T19:11:38.598,scanning,classify,0000000000000001,10.0.0.2,10.0.0.12,-1,ddos,2.8712,10.6714,1,0.0,3,0,1,3,1.0
2026-09-20T19:11:38.598,scanning,classify,0000000000000001,10.0.0.2,10.0.0.12,-1,normal,2.8712,,0,0.0,3,0,1,3,1.0
2026-09-20T19:11:38.611,scanning,classify,0000000000000003,10.0.0.5,10.0.0.12,-1,normal,9.7314,,0,0.0,1,1,1,3,1.0
2026-09-20T19:11:38.624,scanning,classify,0000000000000002,10.0.0.12,10.0.0.2,-1,normal,3.6805,,0,0.0,3,0,1,1,1.0
2026-09-20T19:11:38.624,scanning,classify,0000000000000002,10.0.0.2,10.0.0.12,-1,normal,3.6805,,0,0.0,3,0,1,3,1.0
2026-09-20T19:11:38.624,scanning,classify,0000000000000002,10.0.0.2,10.0.0.12,-1,normal,3.6805,,0,0.0,3,0,1,3,1.0
2026-09-20T19:11:40.586,scanning,classify,0000000000000002,10.0.0.2,10.0.0.12,-1,normal,6.9526,,0,1.52,1,0,1,3,1.0
2026-09-20T19:11:41.588,scanning,classify,0000000000000002,10.0.0.2,10.0.0.12,-1,normal,1.8743,,0,2.0,4,0,1,3,2.0
2026-09-20T19:11:41.588,scanning,classify,0000000000000002,10.0.0.1,10.0.0.2,-1,normal,1.8743,,0,0.0,4,1,1,2,2.0
2026-09-20T19:11:41.588,scanning,classify,0000000000000002,10.0.0.1,10.0.0.2,-1,normal,1.8743,,0,0.0,4,1,1,2,2.0
2026-09-20T19:11:41.588,scanning,classify,0000000000000002,10.0.0.2,10.0.0.1,-1,normal,1.8743,,0,0.0,4,0,2,1,2.0
2026-09-20T19:11:42.623,scanning,classify,0000000000000004,10.0.0.11,10.0.0.12,-1,normal,7.3094,,0,0.0,1,0,1,3,1.0
2026-09-20T19:11:42.632,scanning,classify,0000000000000002,10.0.0.2,10.0.0.12,-1,normal,1.9701,,0,0.0,4,0,2,3,1.0
2026-09-20T19:11:42.632,scanning,classify,0000000000000002,10.0.0.1,10.0.0.2,-1,normal,1.9701,,0,0.96,4,1,1,2,1.0
2026-09-20T19:11:42.632,scanning,classify,0000000000000002,10.0.0.1,10.0.0.2,-1,normal,1.9701,,0,0.0,4,1,1,2,1.0
2026-09-20T19:11:42.632,scanning,classify,0000000000000002,10.0.0.2,10.0.0.1,-1,normal,1.9701,,0,0.0,4,0,2,1,1.0
2026-09-20T19:11:43.589,scanning,classify,0000000000000001,10.0.0.5,10.0.0.12,-1,normal,3.607,,0,0.0,2,1,1,3,4.0
2026-09-20T19:11:43.589,scanning,classify,0000000000000001,10.0.0.5,10.0.0.12,-1,normal,3.607,,0,0.0,2,1,1,3,4.0
2026-09-20T19:11:43.598,scanning,classify,0000000000000004,10.0.0.11,10.0.0.12,-1,normal,2.2315,,0,0.0,3,0,1,3,4.0
2026-09-20T19:11:43.598,scanning,classify,0000000000000004,10.0.0.11,10.0.0.12,-1,normal,2.2315,,0,0.0,3,0,1,3,4.0
2026-09-20T19:11:43.598,scanning,classify,0000000000000004,10.0.0.12,10.0.0.11,-1,normal,2.2315,,0,0.0,3,0,2,1,4.0
2026-09-20T19:11:43.606,scanning,classify,0000000000000003,10.0.0.5,10.0.0.12,-1,normal,2.2251,,0,56.72,3,1,1,3,4.0
2026-09-20T19:11:43.606,scanning,classify,0000000000000003,10.0.0.12,10.0.0.5,-1,normal,2.2251,,0,0.0,3,0,3,1,4.0
2026-09-20T19:11:43.606,scanning,classify,0000000000000003,10.0.0.5,10.0.0.12,-1,normal,2.2251,,0,0.0,3,1,1,3,4.0
2026-09-20T19:11:43.616,scanning,classify,0000000000000002,10.0.0.2,10.0.0.12,-1,normal,3.0466,,0,0.0,3,0,2,3,4.0
2026-09-20T19:11:43.617,scanning,classify,0000000000000002,10.0.0.12,10.0.0.2,28,scanning,3.0466,10.2868,1,0.8,3,1,3,1,4.0
2026-09-20T19:11:43.617,scanning,classify,0000000000000002,10.0.0.2,10.0.0.12,5099,scanning,3.0466,,0,0.8,3,1,2,1,4.0
2026-09-20T19:11:44.591,scanning,classify,0000000000000001,10.0.0.5,10.0.0.12,-1,normal,2.7759,,0,2.03,3,1,1,3,5.0
2026-09-20T19:11:44.591,scanning,classify,0000000000000001,10.0.0.5,10.0.0.12,-1,normal,2.7759,,0,23831.27,3,1,1,3,5.0
2026-09-20T19:11:44.591,scanning,classify,0000000000000001,10.0.0.12,10.0.0.5,-1,normal,2.7759,,0,0.0,3,1,3,1,5.0
2026-09-20T19:11:44.601,scanning,classify,0000000000000002,10.0.0.2,10.0.0.12,-1,normal,2.4212,,0,1.01,3,1,2,3,5.0
2026-09-20T19:11:44.601,scanning,classify,0000000000000002,10.0.0.12,10.0.0.2,28,scanning,2.4212,,0,0.0,3,1,3,1,5.0
2026-09-20T19:11:44.601,scanning,classify,0000000000000002,10.0.0.2,10.0.0.12,5099,scanning,2.4212,,0,0.0,3,1,2,1,5.0
2026-09-20T19:11:44.609,scanning,classify,0000000000000003,10.0.0.5,10.0.0.12,-1,normal,2.3476,,0,0.0,3,1,1,3,5.0
2026-09-20T19:11:44.609,scanning,classify,0000000000000003,10.0.0.12,10.0.0.5,-1,normal,2.3476,,0,50.6,3,1,3,1,5.0
2026-09-20T19:11:44.609,scanning,classify,0000000000000003,10.0.0.5,10.0.0.12,-1,normal,2.3476,,0,39945.75,3,1,1,3,5.0
2026-09-20T19:11:44.618,scanning,classify,0000000000000004,10.0.0.11,10.0.0.12,-1,normal,2.4317,,0,0.98,3,0,1,3,5.0
2026-09-20T19:11:44.618,scanning,classify,0000000000000004,10.0.0.11,10.0.0.12,-1,normal,2.4317,,0,0.0,3,0,1,3,5.0
2026-09-20T19:11:44.618,scanning,classify,0000000000000004,10.0.0.12,10.0.0.11,-1,normal,2.4317,,0,0.0,3,1,3,1,5.0
2026-09-20T19:11:45.596,scanning,classify,0000000000000001,10.0.0.5,10.0.0.12,-1,normal,3.5816,,0,0.0,3,1,1,3,5.0
2026-09-20T19:11:45.596,scanning,classify,0000000000000001,10.0.0.5,10.0.0.12,-1,normal,3.5816,,0,35246.25,3,1,1,3,5.0
2026-09-20T19:11:45.597,scanning,classify,0000000000000001,10.0.0.12,10.0.0.5,-1,normal,3.5816,,0,0.0,3,1,3,1,5.0
2026-09-20T19:11:45.610,scanning,classify,0000000000000004,10.0.0.12,10.0.0.5,-1,normal,5.0874,,0,0.0,2,1,3,1,5.0
2026-09-20T19:11:45.610,scanning,classify,0000000000000004,10.0.0.11,10.0.0.12,-1,normal,5.0874,,0,1.01,2,0,1,3,5.0
2026-09-20T19:11:45.622,scanning,classify,0000000000000003,10.0.0.5,10.0.0.12,-1,normal,3.6952,,0,0.0,3,1,1,3,5.0
2026-09-20T19:11:45.622,scanning,classify,0000000000000003,10.0.0.12,10.0.0.5,-1,ddos,3.6952,,0,86.12,3,1,3,1,5.0
2026-09-20T19:11:45.623,scanning,classify,0000000000000003,10.0.0.5,10.0.0.12,-1,normal,3.6952,,0,27060.03,3,1,1,3,5.0
2026-09-20T19:11:45.635,scanning,classify,0000000000000002,10.0.0.2,10.0.0.12,-1,normal,3.6565,,0,0.97,3,1,2,3,5.0
2026-09-20T19:11:45.635,scanning,classify,0000000000000002,10.0.0.12,10.0.0.2,28,scanning,3.6565,,0,0.0,3,1,3,1,5.0
2026-09-20T19:11:45.635,scanning,classify,0000000000000002,10.0.0.2,10.0.0.12,5099,scanning,3.6565,,0,0.0,3,1,2,1,5.0
2026-09-20T19:11:46.593,scanning,classify,0000000000000001,10.0.0.12,10.0.0.5,-1,normal,7.2148,,0,0.0,1,1,3,1,6.0
2026-09-20T19:11:46.603,scanning,classify,0000000000000004,10.0.0.12,10.0.0.5,-1,normal,3.835,,0,0.0,2,1,3,1,6.0
2026-09-20T19:11:46.603,scanning,classify,0000000000000004,10.0.0.11,10.0.0.12,-1,normal,3.835,,0,1.0,2,0,1,3,6.0
2026-09-20T19:11:47.631,scanning,classify,0000000000000004,10.0.0.11,10.0.0.12,-1,normal,7.0036,,0,0.0,1,0,1,3,3.0
2026-09-20T19:11:48.596,scanning,classify,0000000000000004,10.0.0.11,10.0.0.12,-1,normal,7.66,,0,0.0,1,0,1,3,1.0
2026-09-20T19:11:49.599,scanning,classify,0000000000000001,10.0.0.5,10.0.0.12,-1,normal,10.1942,,0,0.0,1,1,1,3,2.0
2026-09-20T19:11:49.611,scanning,classify,0000000000000004,10.0.0.11,10.0.0.12,-1,normal,9.1261,,0,0.0,1,0,1,3,2.0
2026-09-20T19:11:49.621,scanning,classify,0000000000000003,10.0.0.5,10.0.0.12,-1,normal,8.4327,,0,41.28,1,1,1,3,2.0
2026-09-20T19:11:50.597,scanning,classify,0000000000000001,10.0.0.5,10.0.0.12,-1,normal,7.24,,0,0.0,1,1,1,3,4.0
2026-09-20T19:11:50.605,scanning,classify,0000000000000003,10.0.0.5,10.0.0.12,-1,normal,7.0042,,0,110.11,1,1,1,3,4.0
2026-09-20T19:11:51.600,scanning,classify,0000000000000001,10.0.0.5,10.0.0.12,-1,spoofing,8.3445,,0,0.0,1,1,1,2,3.0
2026-09-20T19:11:51.610,scanning,classify,0000000000000003,10.0.0.5,10.0.0.12,-1,normal,7.7833,,0,87.95,1,1,1,2,3.0
2026-09-20T19:11:52.636,scanning,classify,0000000000000004,10.0.0.11,10.0.0.12,-1,normal,7.0118,,0,0.0,1,0,1,2,2.0
2026-09-20T19:11:53.602,scanning,classify,0000000000000004,10.0.0.11,10.0.0.12,-1,normal,7.8884,,0,1.04,1,0,1,2,2.0
2026-09-20T19:11:54.602,scanning,classify,0000000000000001,10.0.0.12,10.0.0.2,19,normal,7.7135,,0,0.0,1,1,1,1,1.0
