feature,importance,selected
flow_count_per_dpid,0.12772,True
distinct_sources_to_target_5s,0.10958,True
flows_to_target_5s,0.10387,True
duration_nsec,0.09943,True
distinct_targets_by_src_5s,0.09452,True
ip_mac_consistent,0.07526,True
packet_count_per_second,0.06295,True
byte_count_per_second,0.05423,True
packet_count,0.04986,True
byte_count,0.04593,True
duration_sec,0.03088,True
avg_packet_size,0.02785,True
arp_opcode,0.02639,True
tcp_dst_port,0.01445,True
arp_unsolicited_reply,0.01323,True
ip_proto,0.01245,False
tcp_src_port,0.0114,False
distinct_ports_by_src_5s,0.01093,False
eth_type,0.01074,False
tcp_flags,0.0102,False
udp_dst_port,0.00464,False
udp_src_port,0.00347,False
